source,dataset,strategy,prune_layers,prune_ratio,metric_name,metric_value,run_dir
keep_position_ids_summary,gqa,attn_score,[2],[0.5],accuracy,60.22,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/attn_score/gqa/gqa_attn_score_l2_r0p5__20260323_204517_688608
keep_position_ids_summary,gqa,pre_attn_score,[2],[0.5],accuracy,60.16,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/pre_attn_score/gqa/gqa_pre_attn_score_l2_r0p5__20260323_204519_988664
keep_position_ids_summary,gqa,sparsevlm,[1],[0.5],accuracy,59.83,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/sparsevlm/gqa/gqa_sparsevlm_l1_r0p5__20260323_184228_477816
keep_position_ids_summary,gqa,pre_attn_score,[1],[0.5],accuracy,59.8,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/pre_attn_score/gqa/gqa_pre_attn_score_l1_r0p5__20260323_184200_731774
keep_position_ids_summary,gqa,random,[2],[0.7],accuracy,59.72,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/random/gqa/gqa_random_l2_r0p7__20260323_211102_083927
keep_position_ids_summary,gqa,attn_score,[1],[0.5],accuracy,59.7,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/attn_score/gqa/gqa_attn_score_l1_r0p5__20260323_184158_422045
keep_position_ids_summary,gqa,random,[3],[0.7],accuracy,59.7,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/random/gqa/gqa_random_l3_r0p7__20260324_064617_982994
keep_position_ids_summary,gqa,random,[1],[0.7],accuracy,59.67,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/random/gqa/gqa_random_l1_r0p7__20260323_185501_068062
keep_position_ids_summary,gqa,sparsevlm,[3],[0.6],accuracy,59.49,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/sparsevlm/gqa/gqa_sparsevlm_l3_r0p6__20260324_064520_300368
keep_position_ids_summary,gqa,entropy,[1],[0.5],accuracy,59.45,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/entropy/gqa/gqa_entropy_l1_r0p5__20260323_184205_380729
keep_position_ids_summary,gqa,sparsevlm,[2],[0.6],accuracy,59.39,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/sparsevlm/gqa/gqa_sparsevlm_l2_r0p6__20260323_210407_605469
keep_position_ids_summary,gqa,attn_score,[2],[0.6],accuracy,59.05,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/attn_score/gqa/gqa_attn_score_l2_r0p6__20260323_205435_040075
keep_position_ids_summary,gqa,pre_attn_score,[3],[0.6],accuracy,59.03,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/pre_attn_score/gqa/gqa_pre_attn_score_l3_r0p6__20260324_064425_086472
keep_position_ids_summary,gqa,attn_score,[3],[0.6],accuracy,58.98,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/attn_score/gqa/gqa_attn_score_l3_r0p6__20260324_064352_049693
keep_position_ids_summary,gqa,pre_attn_score,[2],[0.6],accuracy,58.98,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/pre_attn_score/gqa/gqa_pre_attn_score_l2_r0p6__20260323_205732_810460
keep_position_ids_summary,gqa,entropy,[3],[0.4],accuracy,58.72,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/entropy/gqa/gqa_entropy_l3_r0p4__20260324_053021_077956
keep_position_ids_summary,gqa,entropy,[2],[0.4],accuracy,58.64,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/entropy/gqa/gqa_entropy_l2_r0p4__20260323_195512_965477
keep_position_ids_summary,gqa,sparsevlm,[3],[0.7],accuracy,58.61,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/sparsevlm/gqa/gqa_sparsevlm_l3_r0p7__20260324_064635_401558
keep_position_ids_summary,gqa,sparsevlm,[1],[0.6],accuracy,58.55,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/sparsevlm/gqa/gqa_sparsevlm_l1_r0p6__20260323_184432_500420
keep_position_ids_summary,gqa,attn_score,[1],[0.6],accuracy,58.45,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/attn_score/gqa/gqa_attn_score_l1_r0p6__20260323_184231_317150
keep_position_ids_summary,gqa,pre_attn_score,[1],[0.6],accuracy,58.44,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/pre_attn_score/gqa/gqa_pre_attn_score_l1_r0p6__20260323_184251_438325
keep_position_ids_summary,gqa,sparsevlm,[2],[0.7],accuracy,58.24,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/sparsevlm/gqa/gqa_sparsevlm_l2_r0p7__20260323_211104_381815
keep_position_ids_summary,gqa,attn_score,[3],[0.7],accuracy,58.2,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/attn_score/gqa/gqa_attn_score_l3_r0p7__20260324_064553_106241
keep_position_ids_summary,gqa,pre_attn_score,[3],[0.7],accuracy,58.17,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/pre_attn_score/gqa/gqa_pre_attn_score_l3_r0p7__20260324_064555_333455
keep_position_ids_summary,gqa,attn_score,[2],[0.7],accuracy,58.1,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/attn_score/gqa/gqa_attn_score_l2_r0p7__20260323_210409_876905
keep_position_ids_summary,gqa,pre_attn_score,[2],[0.7],accuracy,57.93,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/pre_attn_score/gqa/gqa_pre_attn_score_l2_r0p7__20260323_210539_882971
keep_position_ids_summary,gqa,entropy,[1],[0.6],accuracy,57.91,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/entropy/gqa/gqa_entropy_l1_r0p6__20260323_184331_070459
keep_position_ids_summary,gqa,sparsevlm,[1],[0.7],accuracy,57.16,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/sparsevlm/gqa/gqa_sparsevlm_l1_r0p7__20260323_194439_354969
keep_position_ids_summary,gqa,pre_attn_score,[1],[0.7],accuracy,56.74,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/pre_attn_score/gqa/gqa_pre_attn_score_l1_r0p7__20260323_184436_354257
keep_position_ids_summary,gqa,attn_score,[1],[0.7],accuracy,56.65,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/attn_score/gqa/gqa_attn_score_l1_r0p7__20260323_184435_868923
keep_position_ids_summary,gqa,entropy,[1],[0.7],accuracy,56.12,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/entropy/gqa/gqa_entropy_l1_r0p7__20260323_185458_797379
keep_position_ids_summary,gqa,entropy,[2],[0.5],accuracy,55.86,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/entropy/gqa/gqa_entropy_l2_r0p5__20260323_205022_770417
keep_position_ids_summary,gqa,entropy,[3],[0.5],accuracy,55.79,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/entropy/gqa/gqa_entropy_l3_r0p5__20260324_053052_232419
keep_position_ids_summary,gqa,entropy,[2],[0.6],accuracy,52.12,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/entropy/gqa/gqa_entropy_l2_r0p6__20260323_210142_749151
keep_position_ids_summary,gqa,entropy,[3],[0.6],accuracy,52.08,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/entropy/gqa/gqa_entropy_l3_r0p6__20260324_064500_198320
keep_position_ids_summary,gqa,entropy,[3],[0.7],accuracy,48.58,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/entropy/gqa/gqa_entropy_l3_r0p7__20260324_064615_661968
keep_position_ids_summary,gqa,entropy,[2],[0.7],accuracy,48.51,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/entropy/gqa/gqa_entropy_l2_r0p7__20260323_210544_478586
keep_position_ids_summary,mme,attn_score,[1],[0.2],overall_total_score,1884.0544217687075,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/attn_score/mme/mme_attn_score_l1_r0p2__20260324_064637_776449
keep_position_ids_summary,mme,pre_attn_score,[3],[0.3],overall_total_score,1880.3512404961987,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/pre_attn_score/mme/mme_pre_attn_score_l3_r0p3__20260324_080147_084474
keep_position_ids_summary,mme,sparsevlm,[3],[0.4],overall_total_score,1880.3140256102442,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/sparsevlm/mme/mme_sparsevlm_l3_r0p4__20260324_080933_602795
keep_position_ids_summary,mme,sparsevlm,[2],[0.2],overall_total_score,1879.9157663065228,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/sparsevlm/mme/mme_sparsevlm_l2_r0p2__20260324_072859_066258
keep_position_ids_summary,mme,random,[3],[0.3],overall_total_score,1878.4753901560625,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/random/mme/mme_random_l3_r0p3__20260324_080310_461332
keep_position_ids_summary,mme,sparsevlm,[3],[0.6],overall_total_score,1878.4598839535815,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/sparsevlm/mme/mme_sparsevlm_l3_r0p6__20260324_081436_708331
